x,y,dt
-3.3463335,17.077484,41.60
-2.6573758,7.648072,41.77
-2.2557366,5.817433,42.59
-2.4324472,10.253265,41.77
-5.440214,10.273125,41.77
-6.420184,9.753933,41.62
-3.2996223,13.164273,41.75
-1.8773155,9.843815,42.36
-9.891347,15.151468,42.02
-5.182781,5.9296517,41.60
9.710662,9.088773,41.77
-5.561244,9.168619,42.16
-6.9081697,11.523914,41.80
-1.9096675,6.1856976,41.60
-7.90008,10.226944,41.75
-4.0164595,11.174832,42.13
-4.479856,12.8613615,42.59
-7.546402,10.0077,41.60
-3.0981858,8.863697,41.77
-2.6831727,12.155003,42.64
-7.2128444,15.022849,42.23
-5.1092005,8.006046,42.21
-4.613101,10.8095665,41.77
-2.3441284,10.952817,41.50
-6.79564,18.928946,42.87
-15.173919,17.507935,41.75
-5.75403,11.687037,42.62
-2.1900945,14.0701,42.48
-6.6406436,14.725914,42.62
-5.167602,8.262522,41.79
-3.1826234,11.615707,42.65
-2.84592,6.0410466,41.38
-6.067136,17.00427,42.65
-8.554758,8.598263,41.67
-4.643065,10.730234,41.79
-6.8526206,9.664524,41.65
-5.3151317,11.722223,41.80
-7.774956,8.409494,41.40
-8.862362,14.031417,41.79
-1.8241519,9.492211,41.80
-6.3179035,10.306916,41.80
-4.5150247,7.5554833,41.65
-4.121974,9.210741,42.65
-5.5712113,11.582311,41.67
-3.4126406,11.515587,41.79
-4.7365932,11.570713,41.79
-6.716931,12.007758,41.80
-4.389137,10.744847,42.38
-1.7653145,11.498152,42.67
-7.3797326,10.43318,42.65
-3.2339857,7.110009,42.65
-6.2374077,8.950024,41.79
-3.9333265,13.840217,41.80
-3.6627958,6.234107,42.65
-8.737997,12.561992,42.50
-4.1149282,14.99759,41.79
-6.5639877,9.082593,42.65
-8.224973,11.233196,42.23
-11.353787,13.096357,42.19
-9.509189,19.45533,41.77
-8.9448185,12.867204,41.79
-6.4891667,9.680725,42.52
-10.639717,13.769059,41.79
-3.9494488,10.745348,41.63
-5.2478805,9.613268,42.52
-4.257118,8.883503,42.64
-10.928804,13.456073,42.64
-3.4319644,10.028305,41.79
-4.133725,8.778922,42.52
-4.2311363,7.942917,41.80
-4.296203,9.996228,42.65
-4.154953,14.006857,41.79
-4.09792,8.581116,43.06
-2.4300606,7.71209,42.65
-7.037241,12.175731,41.80
-6.4793234,15.519353,41.79
-3.9109776,9.420952,42.65
-6.1992383,8.809095,42.23
-5.4923954,8.899416,42.09
-5.2267666,11.586977,41.82
-6.74471,11.713932,42.23
-9.305176,9.1093645,42.65
-6.1620765,10.044735,41.80
-6.938018,14.432161,42.53
-4.6596456,14.704596,41.67
-8.658721,11.427488,41.80
-7.696116,11.306825,43.08
-5.5093913,9.355204,42.64
-6.234849,11.1444025,41.80
-5.074156,7.4621534,42.64
-2.1673656,10.249973,42.65
-2.3977299,11.183733,41.80
-1.9771392,12.960047,41.80
-3.2180727,7.1782827,41.67
-3.2514417,10.2366495,41.77
-1.2202407,10.720423,42.23
-0.97895414,9.593769,43.08
-0.37291455,8.966118,41.77
-3.7985742,9.687532,41.82
-2.1079106,11.094706,41.80
-2.1758714,10.109758,41.80
-3.8045747,8.621891,42.93
-2.0730896,6.3336644,42.65
-2.3121922,11.651112,41.65
-1.7654345,9.447714,42.67
-3.555466,8.706472,41.80
-5.099089,8.241627,41.80
-6.749901,13.064758,41.68
-1.821027,11.734404,41.65
-4.2721496,7.4738073,41.82
-5.9118404,13.974536,42.23
-3.1957002,11.6226225,42.64
-2.5123625,11.256466,42.67
-3.0586376,9.032768,41.65
-3.214933,6.531189,41.79
-5.8662615,9.460587,41.80
-2.5616863,12.7550535,41.80
-4.4172587,12.029577,41.80
-4.723808,8.491753,41.82
-4.3118405,9.39254,42.23
-5.562137,12.776505,41.79
-7.838655,13.544169,41.65
-3.9639318,6.5777287,41.65
-8.083242,14.723247,41.79
-6.5792475,12.453323,41.79
-3.9908314,11.412427,41.80
-1.7616489,10.737331,42.65
-2.3044717,9.80847,42.65
-3.9742572,14.9949875,41.80
-2.005904,14.378058,42.18
-2.3419597,6.2828503,42.67
-1.7374674,9.192221,42.67
-1.4955083,10.571625,42.65
-1.2841544,17.440754,41.80
-1.492679,6.804051,41.79
-3.0118158,8.00899,41.80
-2.1513944,9.1304245,41.82
-3.0277011,10.315451,41.80
-0.06702865,6.0957527,42.65
-2.0775113,7.5863323,41.82
